%d% % NUM_FEATURES
-3.868310	-2.075035	0.238089	5.312035	-9.745697	
-0.190502	1.574652	5.954968	-0.100343	0.644565	
6.848013	-1.577879	-3.257846	5.566697	-6.066132	
-0.622393	-1.390971	6.955398	-2.821779	7.917903	
0.481680	1.962502	-5.525274	1.763566	2.276838	
2.375271	0.424795	9.016150	-4.750095	2.201333	
4.690720	2.333453	0.630743	2.262353	7.667272	
-6.213545	-7.731731	-1.484927	-1.003142	2.415944	
-1.476119	-6.228259	1.486846	-5.691596	1.710667	
-7.035988	-3.606502	5.303559	0.412051	-3.880370	
